time_s,well,pw_pa,q_m3s,qw_m3s,qo_m3s,qg_m3s
184032000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
186624000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
186624000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
186624000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
186624000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
186624000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
189216000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
189216000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
189216000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
189216000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
189216000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
191808000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
191808000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
191808000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
191808000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
191808000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
194400000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
194400000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
194400000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
194400000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
194400000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
196992000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
196992000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
